time_s,satellite,target_id,true_az_rad,true_el_rad,meas_az_rad,meas_el_rad,kf_az_rad,kf_el_rad,kf_az_rate_rad_s,kf_el_rate_rad_s,kf_az_acc_rad_s2,kf_el_acc_rad_s2,innov_az_rad,innov_el_rad,kf_var_az,kf_var_el
310.0,GEO-2,1,3.0396714428168172,-0.5216893072867083,3.0403747471954787,-0.5226781265640515,3.0403747471954787,-0.5226781265640515,-0.00015819007640436312,1.8704977645178645e-05,0.0,0.0,0.0,0.0,2.499138625598937e-07,2.499138625598937e-07
310.0,GEO-3,1,2.8849711272401835,-0.12711666946798358,2.884136804783054,-0.1265406812994366,2.884136804783054,-0.1265406812994366,-0.0003446809392468886,0.0003805002665925955,0.0,0.0,0.0,0.0,2.499138625598937e-07,2.499138625598937e-07
310.0,GEO-1,2,2.286861022361022,0.31178166392096196,2.2886504590231787,0.31216436725149144,2.2886504590231787,0.31216436725149144,-0.00011395556340412227,7.144792183953474e-05,0.0,0.0,0.0,0.0,2.499138625598937e-07,2.499138625598937e-07
310.0,GEO-2,2,3.0301469375263577,-0.5244230441270734,3.030450497819786,-0.5247691865206614,3.030450497819786,-0.5247691865206614,-0.0004897508683352481,4.302602654839838e-05,0.0,0.0,0.0,0.0,2.499138625598937e-07,2.499138625598937e-07
310.0,GEO-3,2,2.87630600285092,-0.1292626228231588,2.877394428079815,-0.12872270586650197,2.877394428079815,-0.12872270586650197,-0.00029913336321580887,0.00026246227181251356,0.0,0.0,0.0,0.0,2.499138625598937e-07,2.499138625598937e-07
320.0,GEO-1,1,2.292681130652109,0.31606524837888844,2.29441432337147,0.31639595988923336,2.29441432337147,0.31639595988923336,1.1321767005867401e-05,0.00018792993373059063,0.0,0.0,0.0,0.0,2.499138620439679e-07,2.499138620439679e-07
320.0,GEO-2,1,3.0372549990586157,-0.5204779176176441,3.0363063221408377,-0.5210478591184667,3.0363063221408377,-0.5210478591184667,-0.0004068425054641001,0.00016302674455848098,0.0,0.0,0.0,0.0,2.499138620439679e-07,2.499138620439679e-07
320.0,GEO-3,1,2.8828009606666956,-0.12552993528333262,2.88181355611361,-0.12678075617624296,2.88181355611361,-0.12678075617624296,-0.0002323248669443778,-2.4007487680635654e-05,0.0,0.0,0.0,0.0,2.499138620439679e-07,2.499138620439679e-07
320.0,GEO-1,2,2.283936010512382,0.312211898059503,2.285199727938913,0.3130192349676012,2.285199727938913,0.3130192349676012,-0.00034507310842655234,8.54867716109764e-05,0.0,0.0,0.0,0.0,2.499138620439679e-07,2.499138620439679e-07
320.0,GEO-2,2,3.0261830232797715,-0.5237004255657705,3.024944378903962,-0.5219191048828802,3.024944378903962,-0.5219191048828802,-0.0005506118915823866,0.0002850081637781221,0.0,0.0,0.0,0.0,2.499138620439679e-07,2.499138620439679e-07
320.0,GEO-3,2,2.8727573405058204,-0.1281439844311452,2.8730019012319867,-0.12910087641974557,2.8730019012319867,-0.12910087641974557,-0.0004392526847828204,-3.7817055324360084e-05,0.0,0.0,0.0,0.0,2.499138620439679e-07,2.499138620439679e-07
330.0,GEO-1,1,2.2909098151755836,0.317147052207205,2.291296037117023,0.3170778579518501,2.291296037117023,0.3170778579518501,-0.0003118286254447433,6.818980626167592e-05,0.0,0.0,0.0,0.0,2.4991386167043036e-07,2.4991386167043036e-07
