time_s,satellite,target_id,meas_az_rad,meas_el_rad,true_az_rad,true_el_rad,meas_sigma_rad,sat_x_km,sat_y_km,sat_z_km
340.0,GEO-2,1,3.033745903635669,-0.519421159933337,3.0323942998009947,-0.5179705428459064,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
340.0,GEO-3,1,2.8787032156013255,-0.12216028489054691,2.878466023320566,-0.12234440264616116,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
340.0,GEO-1,2,2.2775794936624028,0.31254943145892916,2.2782871239664493,0.31298977066454076,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
340.0,GEO-2,2,3.016817412123015,-0.5229575745891515,3.018217825526859,-0.5221056123996259,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
340.0,GEO-3,2,2.865695757045203,-0.1255486714508234,2.8656808052152156,-0.12587538735420475,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
350.0,GEO-1,1,2.2865821340734556,0.3223023933836467,2.287480510875792,0.31924605093507014,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
350.0,GEO-2,1,3.02938362738622,-0.5165482089936156,3.029953971935981,-0.5166755389977044,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
350.0,GEO-3,1,2.8760740809439502,-0.12114702655036211,2.8763046610250864,-0.12074724676571141,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
350.0,GEO-1,2,2.27686870460464,0.31285948281344983,2.2755676356816723,0.3133382941942095,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
350.0,GEO-2,2,3.0155593851275833,-0.5200921230417415,3.0142249963127177,-0.5212339393241867,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
350.0,GEO-3,2,2.861114461536112,-0.12369136283731827,2.862160126698714,-0.12472685633129316,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
360.0,GEO-1,1,2.285174371221418,0.3229993280621874,2.2858247493066197,0.3202628693363249,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
360.0,GEO-2,1,3.0271237930672164,-0.5162946322550381,3.027509623434504,-0.5153537060208344,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
360.0,GEO-3,1,2.8722385540371596,-0.12044131416913495,2.874149630307781,-0.11914826900722827,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
360.0,GEO-1,2,2.2723401869111166,0.31266248905505717,2.272920835823232,0.3136605168580641,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
360.0,GEO-2,2,3.0090023188548805,-0.5210085938702076,3.010231005751035,-0.5203132541401088,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
360.0,GEO-3,2,2.858449378652347,-0.12212047192157972,2.858655926396146,-0.12356981929622206,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
370.0,GEO-1,1,2.2825063598972437,0.3207060440637896,2.284209654786052,0.32125768506227875,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
370.0,GEO-2,1,3.0241093396348333,-0.515520773383015,3.025063233240034,-0.5140056255886679,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
370.0,GEO-3,1,2.8707364776346873,-0.1184540380969642,2.8720026142912074,-0.11754830325681637,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
370.0,GEO-1,2,2.271065650383947,0.3137630535675726,2.2703486069476915,0.31395695414319114,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
370.0,GEO-2,2,3.0057021150121064,-0.5187327523333205,3.006240100124613,-0.5193440440279695,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
370.0,GEO-3,2,2.8554524934349037,-0.12262836224641602,2.855171723942305,-0.12240503340223652,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
380.0,GEO-1,1,2.2830205084573514,0.32140201151481457,2.28263622261409,0.32223036250015497,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
380.0,GEO-2,1,3.0232441622418755,-0.5121649901498798,3.0226167808999267,-0.5126319150981323,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
